Arrival time,Boarding stop,Stops to go,Direction
06:00:38,4,12,VALDOIE 
06:01:53,12,5,VALDOIE 
06:02:18,12,5,VALDOIE 
06:04:27,14,3,VALDOIE 
06:04:44,6,9,VALDOIE 
06:06:50,16,1,VALDOIE 
06:07:51,3,5,VALDOIE 
06:08:37,1,13,VALDOIE 
06:09:08,15,3,VALDOIE 
06:09:36,9,7,VALDOIE 
06:12:30,12,4,VALDOIE 
06:13:18,13,1,VALDOIE 
06:13:34,9,1,VALDOIE 
06:14:13,4,9,VALDOIE 
06:14:53,17,1,VALDOIE 
06:15:22,5,5,VALDOIE 
06:16:19,10,2,VALDOIE 
06:16:33,17,1,VALDOIE 
06:17:07,15,1,VALDOIE 
06:18:24,10,8,VALDOIE 
06:18:38,13,3,VALDOIE 
06:18:48,5,6,VALDOIE 
06:19:44,6,11,VALDOIE 
06:19:59,5,1,VALDOIE 
06:20:09,9,9,VALDOIE 
06:20:26,6,10,VALDOIE 
06:24:11,4,9,VALDOIE 
06:24:14,9,8,VALDOIE 
06:24:40,16,2,VALDOIE 
06:26:19,8,10,VALDOIE 
06:27:32,6,11,VALDOIE 
06:28:33,2,4,VALDOIE 
06:28:39,17,1,VALDOIE 
06:30:12,6,11,VALDOIE 
06:30:17,6,4,VALDOIE 
06:30:27,17,1,VALDOIE 
06:31:59,14,4,VALDOIE 
06:32:05,6,11,VALDOIE 
06:36:21,7,3,VALDOIE 
06:36:37,10,8,VALDOIE 
06:37:01,5,8,VALDOIE 
06:39:12,17,1,VALDOIE 
06:39:54,12,4,VALDOIE 
06:40:35,6,5,VALDOIE 
06:42:05,7,5,VALDOIE 
06:43:33,5,6,VALDOIE 
06:44:06,9,6,VALDOIE 
06:44:12,7,7,VALDOIE 
06:44:54,5,9,VALDOIE 
06:45:23,7,11,VALDOIE 
06:47:49,4,10,VALDOIE 
06:49:26,15,1,VALDOIE 
06:49:43,4,3,VALDOIE 
06:49:51,15,1,VALDOIE 
06:49:55,3,12,VALDOIE 
06:50:02,15,2,VALDOIE 
06:50:09,15,1,VALDOIE 
06:51:02,10,7,VALDOIE 
06:51:07,16,1,VALDOIE 
06:51:30,15,2,VALDOIE 
06:52:44,11,7,VALDOIE 
06:53:22,7,9,VALDOIE 
06:53:59,14,3,VALDOIE 
06:54:50,6,9,VALDOIE 
06:54:54,2,7,VALDOIE 
06:56:37,16,2,VALDOIE 
06:57:20,13,4,VALDOIE 
06:57:28,14,4,VALDOIE 
06:57:55,1,4,VALDOIE 
07:01:19,5,10,VALDOIE 
07:02:02,11,4,VALDOIE 
07:02:14,1,7,VALDOIE 
07:03:35,1,16,VALDOIE 
07:03:46,6,8,VALDOIE 
07:04:33,17,1,VALDOIE 
07:05:27,17,1,VALDOIE 
07:05:29,17,1,VALDOIE 
07:05:44,6,6,VALDOIE 
07:06:48,8,5,VALDOIE 
07:07:25,15,2,VALDOIE 
07:07:45,2,14,VALDOIE 
07:07:51,16,2,VALDOIE 
07:08:35,2,5,VALDOIE 
07:08:38,15,1,VALDOIE 
07:08:54,9,3,VALDOIE 
07:09:43,8,3,VALDOIE 
07:10:06,2,7,VALDOIE 
07:10:34,11,4,VALDOIE 
07:10:37,7,8,VALDOIE 
07:13:21,1,7,VALDOIE 
07:13:24,8,6,VALDOIE 
07:13:52,17,1,VALDOIE 
07:15:11,9,9,VALDOIE 
07:15:19,7,4,VALDOIE 
07:15:28,12,6,VALDOIE 
07:15:42,1,13,VALDOIE 
07:16:41,11,3,VALDOIE 
07:17:25,8,8,VALDOIE 
07:17:47,7,6,VALDOIE 
07:18:24,11,4,VALDOIE 
07:18:32,6,9,VALDOIE 
07:18:54,10,5,VALDOIE 
07:19:14,3,3,VALDOIE 
07:20:56,14,3,VALDOIE 
07:22:04,11,5,VALDOIE 
07:22:40,8,6,VALDOIE 
07:22:43,8,9,VALDOIE 
07:23:32,12,6,VALDOIE 
07:24:35,15,1,VALDOIE 
07:24:46,14,1,VALDOIE 
07:25:18,8,3,VALDOIE 
07:25:23,13,1,VALDOIE 
07:25:56,3,7,VALDOIE 
07:27:01,4,6,VALDOIE 
07:27:36,12,6,VALDOIE 
07:27:59,15,3,VALDOIE 
07:29:15,10,4,VALDOIE 
07:29:25,8,2,VALDOIE 
07:29:44,15,2,VALDOIE 
07:29:59,14,1,VALDOIE 
07:30:02,17,1,VALDOIE 
07:30:12,9,8,VALDOIE 
07:30:35,4,5,VALDOIE 
07:32:59,4,1,VALDOIE 
07:33:24,9,6,VALDOIE 
07:34:42,8,7,VALDOIE 
07:35:26,3,3,VALDOIE 
07:35:58,11,2,VALDOIE 
07:36:25,6,10,VALDOIE 
07:36:56,3,13,VALDOIE 
07:37:08,3,11,VALDOIE 
07:37:32,13,1,VALDOIE 
07:37:40,13,4,VALDOIE 
