Direction,Departure Time,Duration (minutes)
VALDOIE ,06:09:00,30.0
VALDOIE ,06:27:00,30.0
VALDOIE ,06:32:00,30.0
VALDOIE ,06:50:00,30.0
VALDOIE ,07:09:00,30.0
VALDOIE ,07:20:00,30.0
VALDOIE ,07:31:00,30.0
VALDOIE ,07:45:00,30.0
VALDOIE ,08:09:00,30.0
VALDOIE ,08:17:00,30.0
VALDOIE ,08:23:00,30.0
VALDOIE ,08:51:00,30.0
VALDOIE ,09:12:00,30.0
VALDOIE ,09:19:00,30.0
VALDOIE ,09:26:00,30.0
VALDOIE ,09:37:00,30.0
VALDOIE ,09:50:00,30.0
VALDOIE ,10:18:00,30.0
VALDOIE ,10:49:00,30.0
VALDOIE ,11:13:00,30.0
VALDOIE ,11:15:00,30.0
VALDOIE ,11:43:00,30.0
VALDOIE ,11:59:00,30.0
VALDOIE ,12:15:00,30.0
VALDOIE ,12:52:00,30.0
VALDOIE ,13:30:00,30.0
VALDOIE ,13:56:00,30.0
VALDOIE ,14:35:00,30.0
VALDOIE ,15:51:00,30.0
VALDOIE ,16:48:00,30.0
VALDOIE ,16:55:00,30.0
VALDOIE ,17:06:00,30.0
VALDOIE ,17:11:00,30.0
VALDOIE ,17:43:00,30.0
VALDOIE ,18:04:00,30.0
VALDOIE ,18:25:00,30.0
VALDOIE ,18:45:00,30.0
VALDOIE ,19:03:00,30.0
VALDOIE ,19:18:00,30.0
VALDOIE ,19:53:00,30.0
VALDOIE ,21:55:00,30.0
Gare TGV,06:03:00,30.0
Gare TGV,06:21:00,30.0
Gare TGV,06:57:00,30.0
Gare TGV,07:16:00,30.0
Gare TGV,07:42:00,30.0
Gare TGV,08:02:00,30.0
Gare TGV,08:16:00,30.0
Gare TGV,08:21:00,30.0
Gare TGV,08:25:00,30.0
Gare TGV,08:28:00,30.0
Gare TGV,08:50:00,30.0
Gare TGV,09:21:00,30.0
Gare TGV,09:35:00,30.0
Gare TGV,09:38:00,30.0
Gare TGV,09:50:00,30.0
Gare TGV,09:57:00,30.0
Gare TGV,10:28:00,30.0
Gare TGV,11:03:00,30.0
Gare TGV,11:55:00,30.0
Gare TGV,12:10:00,30.0
Gare TGV,13:01:00,30.0
Gare TGV,13:15:00,30.0
Gare TGV,13:24:00,30.0
Gare TGV,13:58:00,30.0
Gare TGV,16:20:00,30.0
Gare TGV,16:47:00,30.0
Gare TGV,16:54:00,30.0
Gare TGV,17:00:00,30.0
Gare TGV,17:16:00,30.0
Gare TGV,17:50:00,30.0
Gare TGV,18:06:00,30.0
Gare TGV,18:27:00,30.0
Gare TGV,18:37:00,30.0
Gare TGV,18:48:00,30.0
Gare TGV,18:56:00,30.0
Gare TGV,19:11:00,30.0
Gare TGV,19:36:00,30.0
Gare TGV,19:47:00,30.0
Gare TGV,20:38:00,30.0
